k, NA;
knock out, |V;
knock over, |V;
knock rummy, h;
knock up, Vih;
knock-down, |A;
knock-down-and-drag-out, |A;
knock-down-drag-out, A;
knock-knee, N;
knock-kneed, A;
knock-on, NV;
knockabout, NA;
knockdown, AN;
knockdown-dragout, |A;
knocked out, |A;
knocked-down, A;
knocked-out, |A;
knocker, N;
knocking, |N;
knocking-shop, N;
knockless, A;
knockout, NVA;
knockout drops, ph;
knockout punch, |h;
knockwurst, N;
knoll, NV;
knoller, N;
knolly, A;
knop, N;
knorr, N;
knosp, N;
knot, NV;
knot garden, h;
knot stitch, h;
knotgrass, N;
knothole, N;
knotless, A;
knotlike, A;
knotroot, N;
knotted, A;
knotted marjoram, |h;
knotter, N;
knottier, A;
knottiest, A;
knottily, v;
knottiness, N;
knotting, N;
knotty, A;
knotty pine, |h;
knotty rhatany, h;
knotweed, N;
knotwork, N;
knout, N;
know, VN;
know apart, |V;
know nothing, |h;
know the score, |V;
know what's going on, |V;
know what's what, |V;
know-all, N;
know-how, N;
know-it-all, hNA;
know-nothing, NA;
know-nothing party, |h;
knowability, N;
knowable, A;
knowableness, N;
knowe, N;
knower, N;
knowing, AN;
knowingly, v;
knowingness, N;
knowledgableness, N;
knowledgably, v;
knowledge, N;
knowledge base, |h;
knowledge domain, |h;
knowledgeable, A;
knowledgeable about, |A;
knowledgeableness, N;
knowledgeably, v;
knowledgeless, A;
knowlton's cactus, |h;
known, VAN;
known as, |A;
known quantity, h;
knownothingism, N;
knuckle, NtiV;
knuckle ball, h;
knuckle down, iV;
knuckle duster, |h;
knuckle joint, h;
knuckle under, iV;
knuckle-duster, N;
knuckleball, |N;
knucklebone, N;
knucklebones, N;
knuckled, V;
knucklehead, N;
knuckleheaded, A;
knuckler, N;
knuckles, |N;
knuckling, V;
knuckly, A;
knucks, |N;
knulling, N;
knur, N;
knurl, tN;
knurl toe, h;
knurled, A;
knurlier, A;
knurliest, A;
knurling, N;
knurly, A;
ko, |N;
ko punch, |h;
ko'd, |A;
ko-katana, N;
koa, N;
koala, N;
koala bear, |h;
koan, N;
koans, p;
koasati, |N;
kob, N;
kobenhavn, |N;
kobo, |N;
kobold, N;
kobus, |N;
kobus kob, |h;
kobus leche, |h;
kochia, |N;
kochia scoparia, |h;
kodagu, |N;
kodaker, N;
kodiak, |N;
kodiak bear, |h;
kodogu, N;
koel, N;
koellia, |N;
kofta, N;
koftgar, N;
kogai, N;
kogia, |N;
kogia breviceps, |h;
kogia simus, |h;
kohl, N;
kohleria, |N;
kohlrabi, N;
kohlrabies, p;
koilonychia, N;
koine, N;
kok-saghyz, N;
kok-sagyz, |N;
kokanee, N;
kokia, p;
kokka, |NA;
kokka shinto, |h;
koko, N;
kokobeh, A;
kokos, p;
koku, p;
kol nidre, |h;
kola, N;
kola nut, h;
kola nut tree, |h;
kolacky, p;
kolam, |N;
kolami, |N;
kolinskies, p;
kolinsky, N;
kolkhoz, N;
kolkhoznik, |N;
kolkwitzia, |N;
kolkwitzia amabilis, |h;
koln, |N;
kolo, N;
kolos, p;
komatik, N;
komi, |N;
komodo dragon, |h;
komodo lizard, |h;
komondor, |N;
kon tiki, |h;
kona, N;
kona cyclone, h;
konak, N;
konakri, |N;
kondo, N;
kongo, |N;
kongoni, N;
konimeter, N;
konini, |N;
koniology, N;
kontakion, N;
koodoo, N;
koodoos, p;
kook, N;
kookaburra, N;
kookie, |A;
kookier, A;
kookiest, A;
kooky, A;
koorajong, N;
kop, N;
kopeck, N;
kopek, |N;
kopfring, N;
koph, N;
kopis, N;
kopje, N;
koppa, N;
koppie, |N;
kor, N;
koradji, N;
korai, p;
koran, |N;
koranic, |A;
kordofan, |N;
kordofanian, |N;
kore, N;
korea, |N;
korea strait, |h;
korean, |NA;
korean lawn grass, |h;
korean lespedeza, |h;
korean peninsula, |h;
korean strait, |h;
korean velvet grass, |h;
korean war, |h;
korfball, N;
korinthos, |N;
korma, N;
korona, N;
korsakoff's syndrome, |h;
korsakov's syndrome, |h;
koruna, N;
koruny, p;
kos, N;
kosha, N;
kosher, AN;
koso, N;
kosos, p;
kosteletzya, |N;
kosteletzya virginica, |h;
kota, |N;
kotar, |N;
koto, N;
koto player, |h;
kotoko, |N;
kotos, p;
kotow, iNV;
kotower, N;
kottaboi, p;
kottabos, N;
kottabos kataktos, h;
kotwal, N;
kotwali, N;
koudou, |N;
koulibiaca, N;
koumis, N;
koumiss, |N;
kouprey, N;
koupreys, p;
kourbash, Nt;
kouroi, p;
kouros, N;
kousso, N;
koussos, p;
kovna, |N;
kovno, |N;
koweit, |N;
kowhai, N;
kowtow, iNV;
kowtower, N;
kozuka, p;
kpc, N;
kph, |N;
kr, N;
kraal, NAt;
kraft, N;
kraft paper, |h;
kraft process, h;
krait, N;
krakatao, |N;
krakatau, |N;
krakatoa, |N;
krakau, |N;
kraken, N;
krakow, |N;
krakowiak, N;
krameria, N;
krans, N;
krater, N;
kraurosis, N;
kraurotic, A;
kraut, |N;
krauthead, |N;
krebs cycle, |h;
kremlin, N;
krepis, N;
kreplach, p;
kreutzer, N;
kriegspiel, N;
krigia, |N;
krigia bulbosa, |h;
krigia dandelion, |h;
krill, N;
krimmer, N;
kris, N;
krishna, |N;
krishnaism, |N;
kriss kringle, |h;
krivu, N;
krna, N;
kromesky, N;
krona, N;
krone, N;
kronen, p;
kroner, p;
kronor, p;
kroon, N;
krs, N;
krubi, |N;
kruller, N;
krumhorn, N;
krummhorn, N;
kruna, N;
krypterophaneron, |N;
krypton, N;
kshatriya, |N;
ksi, N;
kt, N;
ku, |N;
ku klux klan, |h;
ku-chiku, |N;
kuala lumpur, |h;
kuan yin, |h;
kuangchou, |N;
kublai kahn, |h;
kuchean, |N;
kuchean dialect, |h;
kuchen, N;
kudos, N;
kudu, N;
kudu lily, |h;
kudzu, N;
kudzu vine, h;
kueh, N;
kuenlun, |N;
kuenlun mountains, |h;
kufiyeh, N;
kugel, N;
kui, |N;
kukenaam, |N;
kukenaam falls, |h;
kuki, |N;
kuki-chin, |N;
kukri, N;
kula, N;
kulak, N;
kulanapan, |N;
kumbaloi, p;
kumis, |N;
kumiss, N;
kummel, |N;
kummerbund, N;
kumquat, N;
kumquat tree, |h;
kundalini, N;
kundt's tube, |h;
kung fu, h;
kung futzu, |h;
kunlun, |N;
kunlun mountains, |h;
kunzite, N;
kura, |N;
kura river, |h;
kurakkan, |N;
kurbash, Nt;
kurchatovium, N;
kurchee, |N;
kurchi, |N;
kurdish, |N;
kuri-chiku, |N;
kurikata, p;
kurn, N;
kuroshio, |N;
kuroshio extension, h;
kuroshio system, h;
kurrajong, N;
kurrat, |N;
kursaal, N;
kurta, N;
kurtosis, N;
kuru, |N;
kurus, N;
kurux, |N;
kusan, |N;
kusso, N;
kussos, p;
kutch, |N;
kutcha, A;
kuvasz, N;
kuvaszok, p;
kuvi, |N;
kuwait, |N;
kuwaiti, |NA;
kuwaiti dinar, |h;
kuwaiti dirham, |h;
kuwaiti monetary unit, |h;
kv, |N;
kvass, N;
kvetch, |V;
kw, |N;
kw-hr, |N;
kwa, |N;
kwacha, N;
kwai, |N;
kwaiken, p;
kwajalein, |N;
kwakiutl, |N;
kwan-yin, |N;
kwangchow, |N;
kwannon, |N;
kwanza, N;
kwanzaa, |N;
kwartje, N;
kwashiorkor, N;
kweek, |N;
kwela, N;
kyack, N;
kyak, N;
kyanise, t;
kyanised, t;
kyanising, t;
kyanite, N;
kyanize, t;
kyanized, t;
kyanizing, t;
kyat, N;
kyathoi, p;
kyathos, N;
kyle, N;
kylie, N;
kylies, p;
kylikes, p;
kylin, N;
kylix, N;
kyloe, N;
kymograph, N;
kymographic, A;
kyo-chiku, |N;
kyoodle, i;
kyoodled, i;
kyoodling, i;
kyoto, |N;
kyphoscoliosis, N;
kyphoscoliotic, A;
kyphosidae, |N;
kyphosis, N;
kyphosus, |N;
kyphosus sectatrix, |h;
kyphotic, A;
kyrgystan, |N;
kyte, N;
kythe, ti;
kythed, ti;
kything, ti;
kytoon, N;
kyu, N;
kyushu, |N;
l, NA;
l'aquila, |N;
l'atat c'est moi, h;
l'atoile du nord, h;
l'istesso tempo, h;
l-arterenol, N;
l-glucose, N;
l-norepinephrine, N;
l-p, |N;
l-plate, |N;
l/w, h;
la, N!;
la paz, |h;
la plata, |h;
la-di-da, AN;
laager, NVt;
lab, N;
lab bench, |h;
labaara, p;
labarum, N;
labbella, p;
labdanum, N;
labefaction, N;
label, NVt;
labeled, VA;
labeler, N;
labeling, V;
labelled, VA;
labeller, N;
labelling, V;
labelloid, A;
labellum, N;
labia, N;
labia majora, ph;
labia minora, ph;
labial, AN;
labial artery, |h;
labial consonant, |h;
labial pipe, |h;
labial stop, |h;
labial vein, |h;
labialisation, N;
labialise, t;
labialised, t;
labialising, t;
labialism, N;
labiality, N;
labialization, N;
labialize, tV;
labialized, A;
labializing, t;
labially, v;
labiatae, |N;
labiate, NA;
labile, A;
lability, N;
labilization, N;
labilize, t;
labilized, t;
labilizing, t;
labiodental, AN;
labiogression, N;
labionasal, AN;
labiovelar, AN;
labiovelarisation, N;
labiovelarise, ti;
labiovelarised, ti;
labiovelarising, ti;
labiovelarization, N;
labiovelarize, ti;
labiovelarized, ti;
labiovelarizing, ti;
labium, N;
lablab, N;
lablab purpureus, |h;
labor, VN;
labor agreement, |h;
labor camp, h;
labor contract, |h;
labor day, |h;
labor department, |h;
labor force, h;
labor leader, |h;
labor market, h;
labor movement, h;
labor of love, h;
labor omnia vincit, h;
labor pains, h;
labor party, |h;
labor pool, |h;
labor relations, h;
labor resources, |h;
labor secretary, |h;
labor spy, h;
labor union, h;
labor-saving, A;
laborare est orare, h;
laboratorial, A;
laboratorially, v;
laboratorian, N;
laboratories, p;
laboratory, N;
laboratory school, h;
labored, A;
laboredly, v;
laboredness, N;
laborer, N;
laboring, |A;
laboringly, v;
laborious, A;
laboriously, v;
laboriousness, N;
laboristic, A;
laborless, A;
labors of Hercules, h;
laborsaving, |A;
labour, NitV;
labour camp, h;
labour exchange, h;
labour of love, |h;
labour pains, |h;
labour party, |h;
labour-saving, A;
laboured, A;
labouredly, v;
labouredness, N;
labourer, N;
labouring, |A;
labouringly, v;
labourious, |A;
labourism, N;
labourist, N;
labourite, |N;
labourless, A;
laboursaving, |A;
labra, p;
labrador, |N;
labrador retriever, |h;
labrador tea, |h;
labrador-ungava peninsula, |h;
labradorite, N;
labradoritic, A;
labret, N;
labrid, NA;
labridae, |N;
labrocyte, |N;
labroid, NA;
labrum, N;
laburnum, N;
laburnum alpinum, |h;
laburnum anagyroides, |h;
labyrinth, N;
labyrinth fish, h;
labyrinthian, |A;
labyrinthically, v;
labyrinthine, A;
labyrinthine artery, |h;
labyrinthine sense, |h;
labyrinthine vein, |h;
labyrinthitis, N;
labyrinthodont, N;
labyrinthodonta, |N;
labyrinthodontia, |N;
lac, N;
lac dye, |h;
lac insect, h;
lac wax, |h;
laccolith, N;
laccolithic, A;
laccopetalum, |N;
laccopetalum giganteum, |h;
lace, NVt;
lace bug, h;
lace fern, |h;
lace glass, h;
lace into, iV;
lace making, |h;
lace piece, h;
lace pillow, h;
lace up, tAhV;
lace-fern, N;
lace-flower vine, |h;
lace-leaf, N;
lace-leaves, p;
lace-vine, N;
lacebark, N;
laced, VA;
laceless, A;
lacelike, A;
lacemaking, N;
lacepod, |N;
lacer, N;
lacerability, N;
lacerable, A;
lacerant, A;
lacerate, VtA;
lacerated, A;
lacerating, V;
laceration, N;
lacerative, A;
lacerna, N;
lacernae, p;
lacernas, p;
lacerta, |N;
lacerta agilis, |h;
lacerta viridis, |h;
lacertid, NA;
lacertid lizard, |h;
lacertidae, |N;
lacertilia, |N;
lacertilian, AN;
lacewing, N;
lacewing fly, |h;
lacewood, N;
lacework, N;
laches, N;
lachesis, |N;
lachnolaimus, |N;
lachnolaimus maximus, |h;
lachryma Christi, h;
lachrymal, A;
lachrymal duct, |h;
lachrymal gland, |h;
lachrymal secretion, |h;
lachrymation, |N;
lachrymator, N;
lachrymatories, p;
lachrymatory, NA;
lachrymose, A;
lachrymosely, v;
lachrymosity, N;
lacier, A;
laciest, A;
lacily, v;
lacinate, |A;
laciness, N;
lacing, N;
laciniate, A;
lack, NV;
lackadaisical, A;
lackadaisically, v;
lackadaisicalness, N;
lackaday, !;
lacker, N;
lackerer, N;
lackey, NV;
lackeyed, p;
lackeying, p;
lackeys, p;
lacking, PA;
lackluster, AN;
lacklustre, A;
lacoca, p;
laconia, |N;
laconian, |N;
laconic, A;
laconical, A;
laconically, v;
laconicism, |N;
laconicum, N;
laconism, N;
lacquer, NV;
lacquer tree, |h;
lacquerer, N;
lacquerware, |N;
lacquey, N;
lacqueyed, p;
lacqueying, p;
lacqueys, p;
lacrimal, A;
lacrimal artery, |h;
lacrimal bone, h;
lacrimal duct, h;
lacrimal gland, h;
lacrimal sac, h;
lacrimal secretion, |h;
lacrimal vein, |h;
lacrimation, N;
lacrimator, N;
lacrimatories, p;
lacrimatory, A;
lacrosse, N;
lacrosse ball, |h;
lactalbumin, N;
lactam, N;
lactarius, |N;
lactarius delicioso, |h;
lactary, A;
lactase, N;
lactate, NiV;
lactated, i;
lactating, iA;
lactation, N;
lactational, A;
lactationally, v;
lacteal, AN;
lacteally, v;
lacteous, A;
lactescency, N;
lactescense, N;
lactescent, A;
lactic, A;
lactic acid, h;
lactiferous, A;
lactiferousness, N;
lactobaccilli, p;
lactobacillaceae, |N;
lactobacillus, N;
lactobacteriaceae, |N;
lactoflavin, N;
lactogen, N;
lactogenic, A;
lactogenic hormone, h;
lactometer, N;
lactone, N;
lactonic, A;
lactonization, N;
lactonize, ti;
lactonized, ti;
lactonizing, ti;
lactophrys, |N;
lactophrys quadricornis, |h;
lactoprotein, N;
lactoscope, N;
lactose, N;
lactuca, |N;
lactuca sativa, |h;
lactuca sativa asparagina, |h;
lactuca sativa capitata, |h;
lactuca sativa crispa, |h;
lactuca sativa longifolia, |h;
lactuca scariola, |h;
lactuca serriola, |h;
lacuna, N;
lacunae, p;
lacunal, A;
lacunar, NA;
lacunaris, A;
lacunose, A;
lacunosis, A;
lacunosity, N;
lacunule, N;
lacustrine, A;
lacy, A;
lad, N;
lad's love, h;
ladanum, N;
ladder, NV;
ladder back, h;
ladder company, h;
ladder stitch, h;
ladder tournament, h;
ladder track, h;
ladder truck, h;
ladder-back, |N;
ladder-back chair, |h;
ladder-proof, |A;
ladderless, A;
ladderlike, A;
ladderman, N;
laddermen, p;
ladderway, N;
laddery, A;
laddie, N;
laddish, A;
lade, Vt;
laded, V;
laden, AV;
ladened, |A;
lader, N;
ladhood, N;
ladies, N;
ladies' fingers, h;
ladies' gallery, h;
ladies' man, h;
ladies' room, h;
ladies' slipper, |h;
ladies' tobacco, |h;
ladies' tresses, |h;
ladies'-eardrop, |N;
ladies'-eardrops, |N;
ladies'-tobacco, N;
ladies'-tobaccoes, p;
ladies'-tobaccos, p;
ladies-in-waiting, Np;
ladies-of-the-night, p;
ladies-tresses, N;
lading, N;
ladino, N;
ladle, NtV;
ladle out, t;
ladleful, N;
ladlefuls, p;
ladler, N;
ladrone, N;
ladrone islands, |h;
lady, N;
lady beetle, |h;
lady bountiful, h;
lady chapel, |h;
lady crab, h;
lady day, |h;
lady fern, h;
lady friend, |h;
lady godiva, |h;
lady killer, |h;
lady mayoress, h;
lady of pleasure, h;
lady of the house, |h;
lady palm, |h;
lady tulip, |h;
lady's bedstraw, h;
lady's earrings, |h;
lady's finger, h;
lady's laces, |h;
lady's leek, |h;
lady's maid, h;
lady's man, h;
lady's mantle, h;
lady's slipper, |h;
lady's smock, |h;
lady's thistle, |h;
lady's tobacco, |h;
lady's tresses, |h;
lady's-eardrop, |N;
lady's-eardrops, |N;
lady's-finger, |N;
lady's-mantle, N;
lady's-slipper, N;
lady's-smock, N;
lady's-thistle, N;
lady's-thumb, N;
lady's-tresses, N;
lady-in-waiting, N;
lady-killer, NA;
lady-killing, NA;
lady-of-the-night, N;
lady-slipper, |N;
ladybeetle, |N;
ladybird, N;
ladybird beetle, h;
ladybug, N;
ladyfinger, N;
ladyfish, N;
ladyfy, V;
ladyhood, N;
ladyish, A;
ladyishly, v;
ladyishness, N;
ladykin, N;
ladyless, A;
ladylike, A;
ladylikeness, N;
ladylove, N;
ladyship, N;
ladysnow, N;
laelia, |N;
laevo, A;
laevogyrate, A;
laevorotation, N;
laevorotatory, A;
laevulin, N;
laevulose, N;
lafora's disease, |h;
lag, VN;
lag b'omer, |h;
lag bolt, h;
lag line, h;
lag screw, h;
lagan, N;
lagarostrobus, |N;
lagarostrobus colensoi, |h;
lagarostrobus franklinii, |h;
lagen, N;
lagena, N;
lagenae, p;
lagenaria, |N;
lagenaria siceraria, |h;
lagend, |N;
lageniform, A;
lagenophera, |N;
lager, N;
lagerstroemia, |N;
lagerstroemia indica, |h;
lagerstroemia speciosa, |h;
laggard, NA;
laggardly, vA;
laggardness, N;
lagged, V;
laggen, N;
laggen-gird, N;
lagger, N;
laggin, N;
lagging, N;
laggingly, v;
lagidium, |N;
lagniappe, N;
lagodon, |N;
lagodon rhomboides, |h;
lagomorph, N;
lagomorpha, |N;
lagomorphic, A;
lagomorphous, A;
lagoon, N;
lagoonal, A;
lagopus, |N;
lagopus scoticus, |h;
lagorchestes, |N;
lagos, |N;
lagostomus, |N;
lagostomus maximus, |h;
lagothrix, |N;
laguna, |N;
laguncularia, |N;
laguncularia racemosa, |h;
lagune, N;
lah, N;
lah-di-dah, AN;
lahar, N;
lahu, |N;
lai, N;
laic, AN;
laically, v;
laicisation, N;
laicise, t;
laicism, N;
laicization, N;
laicize, tV;
laicized, t;
laicizing, t;
laid, VA;
laid deck, h;
laid low, |A;
laid paper, h;
laid up, |A;
laid-back, |A;
laid-off, |A;
laigh, AvN;
laik, Vi;
lain, V;
lair, Nit;
laird, N;
lairdly, A;
lairdship, N;
lairy, A;
laissez faire, h;
laissez passer, |h;
laissez-faire, A;
laissez-faire economy, |h;
laissez-faireism, N;
laissez-passer, N;
lait d'amandes, h;
laitance, N;
laith, NAt;
laity, N;
lake, N;
lake aral, |h;
lake bed, |h;
lake bottom, |h;
lake breeze, h;
lake chad, |h;
lake duck, |h;
lake dweller, h;
lake dwelling, h;
lake erie, |h;
lake herring, h;
lake huron, |h;
lake michigan, |h;
lake ontario, |h;
lake salmon, h;
lake sturgeon, h;
lake superior, |h;
lake trasimenus, |h;
lake trout, h;
lake victoria, |h;
lake whitefish, h;
lakefront, N;
lakeland terrier, |h;
lakeport, N;
laker, N;
lakeshore, N;
lakeside, |N;
lakh, N;
lakier, A;
lakiest, A;
lakin, N;
laksa, N;
lakshmi, |N;
laky, A;
lalang, N;
lalapalooza, N;
lall, i;
lallans, |N;
lallation, N;
lally, |N;
lally column, |h;
lallygag, V;
lallygagged, i;
lallygagging, i;
lalopathies, p;
lalopathy, N;
lalophobia, N;
laloplegia, N;
lalthyrus tingitanus, |h;
lam, NVti;
lam into, |V;
lama, N;
lama guanicoe, |h;
lama pacos, |h;
lama peruana, |h;
lamaism, |N;
lamaist, |N;
lamarck, |N;
lamarckian, |A;
lamarckism, |N;
lamaseries, p;
lamasery, N;
lamaze method, |h;
lamaze method of childbirth, |h;
lamb, NiV;
lamb curry, |h;
lamb down, t;
lamb roast, |h;
lamb succory, |h;
lamb's ears, h;
lamb's lettuce, h;
lamb's tails, p;
lamb's tongue, h;
lamb's wool, h;
lamb's-quarter, |N;
lamb's-quarters, N;
lambast, |V;
lambaste, tV;
lambasted, t;
lambasting, t;
lambchop, |N;
lambda, N;
lambda hyperon, |h;
lambda particle, |h;
lambdacism, N;
lambdoid, A;
lambdoidal suture, h;
lambencies, p;
lambency, N;
lambent, A;
lambently, v;
lambert, N;
lambertia, |N;
lambertia formosa, |h;
lambis, |N;
lambkill, N;
lambkin, N;
lamblike, A;
lamboid suture, |h;
lamboy, N;
lambrequin, N;
lambskin, N;
lame, AtNV;
lame duck, h;
lamebrain, N;
lamed, N;
lamedh, |N;
lamella, N;
lamella roof, h;
lamellae, p;
lamellar, A;
lamellar mixture, |h;
lamellarly, v;
lamellate, A;
lamellate placentation, |h;
lamellately, v;
lamellibranch, NA;
lamellibranchia, |N;
lamellicorn, NA;
lamellicorn beetle, |h;
lamellicornia, |N;
lamelliform, A;
lamellirostral, A;
lamellose, A;
lamellosity, N;
lamely, v;
lameness, N;
lament, VN;
lamentable, A;
lamentableness, N;
lamentably, v;
lamentation, N;
lamented, A;
lamentedly, v;
lamenter, N;
lamenting, |A;
lamentingly, v;
lamer, A;
lames, p;
lamest, A;
lamia, N;
lamiaceae, |N;
lamiaceous, A;
lamiae, p;
lamias, p;
lamina, N;
laminable, A;
laminae, p;
laminar, A;
laminar flow, h;
laminaria, N;
laminariaceae, |N;
laminariaceous, A;
laminariales, |N;
laminate, VtNA;
laminated, V;
laminated glass, |h;
laminating, V;
lamination, N;
laminator, N;
laminectomy, |N;
laming, A;
lamington, N;
laminitis, N;
laminose, A;
laminous, A;
lamister, N;
lamium, |N;
lamium album, |h;
lamium amplexicaule, |h;
lammas, |N;
lammas day, |h;
lammastide, |N;
lammed, V;
lammergeier, N;
lammergeyer, |N;
lamming, V;
lamna, |N;
lamna nasus, |h;
lamnidae, |N;
lamp, N;
lamp cage, h;
lamp chimney, h;
lamp shade, |h;
lamp shell, h;
lamp standart, h;
lamp trimmer, h;
lampad, N;
lampadaire, N;
lampas, N;
lampblack, N;
lamper eel, h;
lampern, N;
lampers, N;
lampion, N;
lampless, A;
lamplight, N;
lamplighter, N;
lamplit, |A;
lampoon, NtV;
lampooner, N;
lampoonery, N;
lampoonist, N;
lamppost, N;
lamprey, N;
lamprey eel, |h;
lampreys, p;
lampridae, |N;
lampris, |N;
lampris guttatus, |h;
lampris regius, |h;
lampropeltis, |N;
lampropeltis getulus, |h;
lampropeltis triangulum, |h;
lamprophonic, A;
lamprophony, N;
lamprophyre, N;
lamprophyric, A;
lampshade, N;
lampshell, |N;
lampworker, N;
lampworking, N;
lampyrid, NA;
lampyridae, |N;
lamster, N;
lan, |N;
lanai, N;
lanai island, |h;
lanais, p;
lanate, A;
lancaster, |N;
lancastrian, |NA;
lancastrian line, |h;
lance, NtV;
lance corporal, h;
lance of courtesy, h;
lance rest, h;
lance sergeant, h;
lanced, V;
lancejack, N;
lancelet, N;
lancelike, A;
lancelot, |N;
lanceolate, A;
lanceolate leaf, |h;
lanceolate spleenwort, |h;
lanceolately, v;
lancepod, N;
lancer, N;
lancers, N;
lancet, N;
lancet arch, h;
lancet clock, h;
lancet fish, h;
lancet window, h;
lanceted, A;
lancetfish, N;
lancewood, N;
lancewood tree, |h;
lanchou, |N;
lanchow, |N;
lanciform, A;
lancinate, A;
lancinated, t;
lancinating, t;
lancination, N;
lancing, V;
land, NVitA;
land agent, h;
land area, |h;
land bank, h;
land board, h;
land breeze, h;
land bridge, h;
land crab, h;
land cress, |h;
land development, |h;
land fast, h;
land forces, p;
land grant, h;
land lane, h;
land line, h;
land measure, h;
land mile, |h;
land mine, h;
land of Nod, h;
land of enchantment, |h;
land of lincoln, |h;
land of opportunity, |h;
land office, h;
land patent, h;
land plaster, h;
land power, h;
land rail, h;
land reform, h;
land resources, |h;
land site, |h;
land tax, h;
land tenure, |h;
land up, V;
land wind, h;
land with, t;
land-grabber, N;
land-grant college, h;
land-holder, N;
land-office business, h;
land-poor, A;
landammann, N;
landau, N;
landaulet, N;
landed, A;
landed estate, |h;
landed gentry, |h;
landfall, N;
landfall light, h;
landfall mark, h;
landfill, |N;
landform, N;
landgrave, N;
landgraviate, N;
landgravine, N;
landholder, N;
landholding, AN;
landing, N;
landing approach, |h;
landing beam, h;
landing card, h;
landing clerk, h;
landing craft, h;
landing deck, |h;
landing edge, h;
landing field, h;
landing flap, h;
landing force, h;
landing gear, h;
landing net, h;
landing party, h;
landing place, |h;
landing ship, h;
landing skids, |h;
landing stage, h;
landing strake, h;
landing strip, h;
landing tee, h;
landing-waiter, N;
landladies, p;
landlady, N;
landler, |N;
landless, A;
landlessness, N;
landlike, A;
landlocked, A;
landlocked salmon, h;
landloper, N;
landlord, N;
landlordism, N;
landlordly, A;
landlordry, N;
landlordship, N;
landlubber, N;
landlubberish, A;
landlubberly, A;
landlubbing, A;
landman, N;
landmark, N;
landmass, N;
landmen, p;
landowner, NA;
landownership, N;
landowning, NA;
landrace, N;
landrover, |N;
lands, p;
landscape, NtiV;
landscape architect, h;
landscape architecture, h;
landscape gardener, h;
landscape gardening, h;
landscape painting, |h;
landscaped, VA;
landscaper, N;
landscaping, VN;
landscapist, N;
landshark, N;
landside, N;
landskip, N;
landsknecht, N;
landslid, V;
landslidden, V;
landslide, N;
landsliding, V;
landslip, |N;
landsmal, |N;
landsman, N;
landsmanleit, p;
landsmanshaft, N;
landsmanshaften, p;
landsmen, p;
landwaiter, N;
landward, Av;
landwards, v;
lane, NA;
lane's prince albert, |h;
lang, A;
lang lay, h;
lang syne, |v;
langbeinite, |N;
langeel, N;
langiel, N;
langlauf, N;
langlaufer, N;
langlauffer, |N;
langleufer, p;
langleufers, p;
langley, |N;
langobard, |N;
langouste, N;
langoustine, |N;
langrage, N;
langsat, N;
langset, |N;
langside, |N;
langsyne, vN;
language, N;
language arts, h;
language barrier, |h;
language laboratory, h;
language learning, |h;
language lesson, |h;
